Player,REB,AST,STL,BLK,TOV,PF,PTS,Salary
Damyean Dotson,2,2,0.3,0.1,0.9,0.9,6.7,2000000
Daniel Gafford,2.5,0.5,0.3,1.3,0.7,2.3,5.1,898310
Daniel Gafford,4.3,0.5,0.5,1.4,0.8,1.8,7,1517981
Daniel Gafford,5.7,0.9,0.4,1.4,0.9,2.4,9.4,1782621
Daniel Gafford,5.6,1.1,0.4,1.3,1.1,2.4,9,1930681
Daniel Theis,3.4,1,0.3,0.6,0.5,2.4,5.7,1378242
Daniel Theis,6.6,1.7,0.6,1.3,0.8,3.4,9.2,5000000
Daniel Theis,5.5,1.7,0.6,0.9,1,2.6,9.6,5000000
Daniel Theis,4.9,0.9,0.4,0.7,1,2.4,8.2,8280351
Danilo Gallinari,6.1,2.6,0.7,0.3,1.5,1.9,19.8,21587579
Danilo Gallinari,5.2,1.9,0.7,0.1,1.2,1.2,18.7,22615559
Danilo Gallinari,4.1,1.5,0.6,0.2,0.8,2.1,13.3,19500000
Danilo Gallinari,4.7,1.5,0.4,0.2,0.6,1.4,11.7,20475000
Danny Green,4,1.6,0.9,0.7,0.9,2.1,10.3,10000000
Danny Green,3.3,1.3,1.3,0.5,0.9,2,8,14634146
Danny Green,3.8,1.7,1.3,0.8,1,1.8,9.5,15365853
Danny Green,2.5,1,1,0.6,0.7,1.7,5.9,10000000
Dante Cunningham,2.9,0.8,0.4,0.2,0.3,1.1,3,2487000
Dante Exum,1.6,2.6,0.3,0.1,1.2,1.6,6.9,9100000
Danuel House Jr.,4.2,1.3,1.1,0.5,0.9,2.1,10.5,3540000
Danuel House Jr.,3.7,1.9,0.6,0.4,1,1.9,8.8,3717000
Danuel House Jr.,2.6,1,0.5,0.4,0.8,1.2,5.9,2490922
Danuel House Jr.,1.7,0.8,0.3,0.2,0.5,1.2,4.8,4105000
Dario Šarić,5.6,1.6,0.6,0.1,1.2,2.2,10.6,2526840
Dario Šarić,6.2,1.9,0.6,0.2,1.3,2.4,10.7,3481986
Dario Šarić,3.8,1.3,0.6,0.1,1.1,1.9,8.7,9250000
Dario Šarić,3.6,1.3,0.4,0.1,1,1.7,6.4,9240000
Darius Bazley,4,0.7,0.4,0.7,0.7,0.9,5.6,2284800
Darius Bazley,7.2,1.8,0.5,0.5,2.2,1.1,13.7,2399160
Darius Bazley,6.3,1.4,0.8,1,1.3,1,10.8,2513040
Darius Bazley,3.2,0.9,0.5,0.8,0.6,1,5.2,4264629
Darius Garland,1.9,3.9,0.7,0.1,2.6,1.6,12.3,6400920
Darius Garland,2.4,6.1,1.2,0.1,3,2,17.4,6720720
Darius Garland,3.3,8.6,1.3,0.1,3.6,1.7,21.7,7040880
Darius Garland,2.7,7.8,1.2,0.1,2.9,2.1,21.6,8920795
Darius Miller,1.9,2.1,0.6,0.3,0.9,2.4,8.2,2205000
Darren Collison,3.1,6,1.4,0.1,1.6,1.8,11.2,10000000
David Nwaba,3.2,1.1,0.7,0.3,0.6,2.1,6.5,1512601
David Nwaba,3.9,1,1,0.7,0.6,2,9.2,1824003
David Nwaba,3.3,0.8,0.6,0.4,0.5,1.2,5.1,4650000
David Roddy,2.8,0.8,0.4,0.3,0.8,1.5,6.7,2588640
Davion Mitchell,2.2,4.2,0.7,0.3,1.5,1.9,11.5,4603200
Davion Mitchell,1.3,2.3,0.6,0.2,0.8,1.4,5.6,4833600
Dāvis Bertāns,3.5,1.3,0.5,0.4,0.6,1.8,8,7000000
Dāvis Bertāns,2.9,0.9,0.6,0.2,0.6,2.4,11.5,15000000
Dāvis Bertāns,2.1,0.6,0.3,0.2,0.3,1.5,5.6,16000000
Day'Ron Sharpe,4.2,0.8,0.3,0.7,0.9,1.9,4.7,2109480
De'Aaron Fox,3.8,7.3,1.6,0.6,2.8,2.5,17.3,5470920
De'Aaron Fox,3.8,6.8,1.5,0.5,3.1,2.8,21.1,6392760
De'Aaron Fox,3.5,7.2,1.5,0.5,3,2.9,25.2,8099627
De'Aaron Fox,3.9,5.6,1.2,0.4,2.8,2.9,23.2,28103500
De'Aaron Fox,4.2,6.1,1.1,0.3,2.5,2.4,25,30351780
De'Andre Hunter,4.5,1.8,0.7,0.3,1.6,2.9,12.3,7068360
De'Andre Hunter,4.8,1.9,0.8,0.5,1.3,2.6,15,7422000
De'Andre Hunter,3.3,1.3,0.7,0.4,1.3,2.9,13.4,7775400
