Observation_number,Date,AwayTeam,HomeTeam,HomeSpread,AwaySpread,absspread,AwayPercOfBets,HomePercOfBets,Bets,roadfav,,,,,,,,,,,,,,,,,,,,,,,
122,2024-10-27,Cowboys,49ers,-5.5,5.5,5.5,0.46,0.54,194006,0,,,,,,,,,,,,,,,,,,,,,,,
123,2024-10-28,Giants,Steelers,-6,6,6,0.22,0.78,249759,0,,,,,,,,,,,,,,,,,,,,,,,
124,2024-10-31,Texans,Jets,-2.5,2.5,2.5,0.8,0.2,277482,0,,,,,,,,,,,,,,,,,,,,,,,
125,2024-11-03,Broncos,Ravens,-9,9,9,0.49,0.51,131216,0,,,,,,,,,,,,,,,,,,,,,,,
126,2024-11-03,Raiders,Bengals,-7.5,7.5,7.5,0.27,0.73,105876,0,,,,,,,,,,,,,,,,,,,,,,,
127,2024-11-03,Patriots,Titans,-3.5,3.5,3.5,0.65,0.35,79325,0,,,,,,,,,,,,,,,,,,,,,,,
128,2024-11-03,Saints,Panthers,7,-7,7,0.69,0.31,96193,1,,,,,,,,,,,,,,,,,,,,,,,
129,2024-11-03,Cowboys,Falcons,-3,3,3,0.62,0.38,142277,0,,,,,,,,,,,,,,,,,,,,,,,
130,2024-11-03,Dolphins,Bills,-6,6,6,0.29,0.71,153495,0,,,,,,,,,,,,,,,,,,,,,,,
131,2024-11-03,Chargers,Browns,2,-2,2,0.41,0.59,127166,1,,,,,,,,,,,,,,,,,,,,,,,
132,2024-11-03,Commanders,Giants,4,-4,4,0.81,0.19,128944,1,,,,,,,,,,,,,,,,,,,,,,,
133,2024-11-03,Bears,Cardinals,-1.5,1.5,1.5,0.64,0.36,99600,0,,,,,,,,,,,,,,,,,,,,,,,
134,2024-11-03,Jaguars,Eagles,-7.5,7.5,7.5,0.21,0.79,143600,0,,,,,,,,,,,,,,,,,,,,,,,
135,2024-11-03,Rams,Seahawks,1.5,-1.5,1.5,0.67,0.33,120169,1,,,,,,,,,,,,,,,,,,,,,,,
136,2024-11-03,Lions,Packers,2.5,-2.5,2.5,0.58,0.42,169167,1,,,,,,,,,,,,,,,,,,,,,,,
137,2024-11-03,Colts,Vikings,-5.5,5.5,5.5,0.31,0.69,220568,0,,,,,,,,,,,,,,,,,,,,,,,
138,2024-11-04,Buccaneers,Chiefs,-9,9,9,0.48,0,245867,0,,,,,,,,,,,,,,,,,,,,,,,
139,2024-11-07,Bengals,Ravens,-6,6,6,0.51,0.49,326015,0,,,,,,,,,,,,,,,,,,,,,,,
