Player,Season,Cap,cap_pct,Rk,Team,Cap.Hit,Salary,Signed.Using,Guaranteed,player_season,tag.y,Pos,Age,G,MP,PER,TS,X3PAr,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP
Jermaine O'Neal,2014,58679000,0.0341,269,GSW,2000000,2000000,BAE,2000000,onealje01_2014,onealje01,PF,35,44,883,15.3,0.57,0,0.532,10.7,19.1,15,4.2,0.8,3.4,14.5,17.8,1.3,1.4,2.7,0.146,-1.6,0.2,-1.4,0.1
Jerome Jordan,2015,63065000,0.0145,417,BRK,915243,,Minimum Salary,,jordaje01_2015,jordaje01,C,28,44,383,16.8,0.609,0,0.468,15.3,15.5,15.4,5.3,1.1,3.1,16.3,16.1,0.9,0.3,1.2,0.156,-0.6,-0.6,-1.2,0.1
Jerome Robinson,2019,101869000,0.0299,267,LAC,3046200,3567720,1st Round Pick,6613920,robinje01_2019,robinje01,SG,21,33,320,7.2,0.491,0.518,0.082,1,12.2,6.8,8.3,1.6,0.7,10.2,16.7,-0.2,0.3,0.1,0.012,-4.2,-0.5,-4.7,-0.2
Jerome Robinson,2020,109140000,0.0327,242,LAC,3567720,3737520,1st Round Pick,7305240,robinje01_2020,robinje01,SG,22,63,979,7.4,0.476,0.494,0.184,1.4,12.8,7,11.9,1.3,1.5,12.8,16.4,-0.6,0.8,0.2,0.009,-3.8,-0.2,-3.9,-0.5
Jerrelle Benimon,2015,63065000,6.00E-04,512,DEN,35000,,,35000,benimje01_2015,benimje01,PF,23,2,3,4.7,NA,NA,NA,38.7,76.6,57.8,0,0,0,100,15.3,0,0,0,-0.215,-9.4,-3.7,-13,0
Jerry Stackhouse,2013,58044000,0.0147,433,BRK,854389,1352181,Minimum Salary,854389,stackje01_2013,stackje01,SF,38,37,544,8.5,0.5,0.517,0.134,1.1,6.1,3.6,10.4,0.7,0.6,11.6,17.5,0.2,0.2,0.4,0.037,-1.6,-1.7,-3.3,-0.2
Jerryd Bayless,2013,58044000,0.0517,226,MEM,3000000,3000000,MLE,3000000,bayleje01_2013,bayleje01,PG,24,80,1765,13.5,0.514,0.324,0.196,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,1.5,2.5,4,0.108,-0.6,0.7,0.1,1
Jerryd Bayless,2014,58679000,0.0534,208,BOS,3135000,3135000,MLE,3135000,bayleje01_2014,bayleje01,PG,25,72,1686,12,0.498,0.344,0.191,1.5,8.6,5,18.5,1.9,0.4,10.9,20.1,1.1,1.3,2.4,0.069,-1.6,-0.2,-1.8,0.1
Jerryd Bayless,2015,63065000,0.0476,227,MIL,3000000,3000000,Cap Space,6000000,bayleje01_2015,bayleje01,PG,26,77,1717,11.1,0.519,0.233,0.266,1.5,12.5,7,21,1.8,0.6,18.8,18.6,0.3,2,2.4,0.066,-2.5,0.4,-2.1,0
Jerryd Bayless,2016,70000000,0.0429,233,MIL,3000000,,Cap Space,3000000,bayleje01_2016,bayleje01,SG,27,52,1505,12.4,0.568,0.529,0.206,1.6,9,5.4,16.2,1.6,0.6,13.3,16.4,1.8,0.6,2.4,0.075,0.2,-1,-0.8,0.4
