date,TeamA,TeamB,bestodds,bestodds,pct bets A,pct bet B,Number of bets,TeamA,TeamB,A_bestodds,B_bestodds,pct bets A,pct bet B,c_Total,c_TotalResult,c_AwaySP,c_HomeSP,c_AwayScore,c_HomeScore
4/8/2024,CHW,CLE,o8.5+100,u8+105,0.33,0.67,21012,CHW,CLE,222,-238,0.14,0.86,8,Under,T. Banks,T. McKenzie,0,4
4/8/2024,MIA,NYY,o8-110,u8+100,0.58,0.42,38304,MIA,NYY,130,-148,0.2,0.8,8,Under,J. Luzardo,N. Cortes Jr.,0,7
4/8/2024,MIL,CIN,o9.5-102,u9.5-110,0.57,0.43,24486,MIL,CIN,-106,-107,0.27,0.73,9.5,Over,A. Ashby,G. Ashcraft,8,10
4/8/2024,DET,PIT,o8-105,u8-105,0.36,0.64,25420,DET,PIT,112,-124,0.27,0.73,8,Over,R. Olson,M. Keller,4,7
4/8/2024,SEA,TOR,o8-106,u8+100,0.19,0.81,30267,SEA,TOR,106,-118,0.44,0.56,8,Under,L. Castillo,J. Berrios,2,5
4/8/2024,NYM,ATL,o10-103,u9.5-104,0.32,0.68,43519,NYM,ATL,205,-215,0.15,0.85,10,Over,J. Teheran,C. Morton,8,7
4/8/2024,LAD,MIN,o8.5-110,u8.5+100,0.83,0.17,37229,LAD,MIN,-132,118,0.9,0.1,8.5,Under,J. Paxton,B. Ober,4,2
4/8/2024,PHI,STL,o9+100,u8.5-105,0.42,0.58,32170,PHI,STL,-104,-108,0.8,0.2,8.5,Under,S. Turnbull,M. Mikolas,5,3
4/8/2024,HOU,TEX,o10+100,u9+100,0.56,0.44,29388,HOU,TEX,112,118,0.39,0.61,10,Over,B. Henley,A. Heaney,10,5
4/8/2024,AZ,COL,o10.5-105,u10.5+100,0.63,0.37,52976,AZ,COL,-175,155,0.91,0.09,10.5,Over,Z. Gallen,K. Freeland,5,7
4/8/2024,TB,LAA,o9+100,u8.5-105,0.35,0.65,29312,TB,LAA,-145,130,0.83,0.17,8.5,Under,Z. Eflin,T. Anderson,1,7
4/8/2024,CHC,SD,o7.5-108,u7.5-105,0.4,0.6,22784,CHC,SD,120,-135,0.56,0.44,7.5,Over,J. Assad,Y. Darvish,8,9
4/8/2024,WAS,SF,o8+100,u7.5-113,0.45,0.55,29237,WAS,SF,184,-210,0.19,0.81,7.5,Over,T. Williams,B. Snell,8,1
4/9/2024,DET,PIT,o8.5-105,u8.5+100,0.31,0.69,32347,DET,PIT,107,-115,0.52,0.48,8.5,Under,C. Mize,M. Perez,5,3
4/9/2024,BAL,BOS,o8-105,u8+100,0.63,0.37,36532,BAL,BOS,-125,112,0.57,0.43,8,Push,C. Burnes,B. Bello,7,1
4/9/2024,CHW,CLE,o9+105,u8.5+100,0,0,26702,CHW,CLE,210,-235,0.01,0.99,8.5,Over,M. Soroka,L. Allen,7,5
4/9/2024,MIL,CIN,o9.5+100,u9-102,0.5,0.5,22986,MIL,CIN,118,-130,0.42,0.58,9.5,Over,J. Ross,F. Montas,9,5
4/9/2024,MIA,NYY,o8.5-102,u8+100,0.57,0.43,41439,MIA,NYY,184,-205,0.03,0.97,8.5,Under,A. Puk,C. Rodon,2,3
4/9/2024,SEA,TOR,o8.5-102,u8-104,0.5,0.5,23284,SEA,TOR,-105,-108,0.8,0.2,8.5,Under,G. Kirby,C. Bassitt,3,5
4/9/2024,NYM,ATL,o9.5-105,u9-102,0.24,0.76,31741,NYM,ATL,175,-185,0.05,0.95,9,Over,A. Houser,R. Lopez,5,6
4/9/2024,HOU,KC,o8.5+100,u8.5-105,0.48,0.52,30973,HOU,KC,-118,110,0.52,0.48,8.5,Under,C. Javier,C. Ragans,3,4
4/9/2024,LAD,MIN,o8-104,u8-105,0.73,0.27,34755,LAD,MIN,-180,162,0.9,0.1,8,Over,T. Glasnow,L. Varland,6,3
4/9/2024,PHI,STL,o7.5+102,u7.5-115,0.18,0.82,32882,PHI,STL,-135,120,0.85,0.15,7.5,Under,Z. Wheeler,S. Gray,0,3
