Team,Season,League,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,ln1divwmin1
Minnesota,2013,Big Ten Conference,5,34,40.1,24,54.1,0.44,5.4,16.1,0.34,15.4,22.5,0.69,13.7,17.8,14.1,23.2,37.3,14.8,7.4,5.5,68.7,7,0.54,0.49,146.5,43.5,68.1,56.1,61.8,17.7,11.5,15.8,1.3,56.2,106.6,96.4,10.1,2193.1,64.3,4,12,1,1,0,0,3,1,88,6.5,1,1.62,1.1,0.5,0.29,21,13,0.62,-0.48
Nebraska,2013,Big Ten Conference,12,33,40,21.5,52.8,0.41,5,16.3,0.31,10.4,15,0.69,10.6,17.3,8.3,21.6,29.9,9.8,5.1,3.1,58.3,11,0.49,0.45,140.6,25.1,70.1,46.8,45.9,15.1,8.1,8.8,1.1,36.4,93.3,101.6,-8.3,2061.3,62.5,9,6,0,0,0,0,0,0,89,-5.2,0,1.46,0.9,0.5,0.2,15,18,0.46,0.18
Northwestern,2013,Big Ten Conference,11,32,40.2,20.6,51.4,0.4,7.6,22.2,0.34,11.8,17.4,0.68,10.7,16.6,8.2,20.8,29,14.6,5.6,3.2,60.7,10,0.51,0.47,142.1,25,64.2,44.6,70.8,15.3,9,8.8,1.2,43.6,97.4,102.1,-4.7,1994.3,62.1,10,4,0,0,0,0,0,0,81,-2.9,1,1.71,1.4,0.5,0.23,13,19,0.41,0.38
Ohio State,2013,Big Ten Conference,3,37,40.1,25.1,55.6,0.45,6.1,17.2,0.36,13.9,19.7,0.71,10.4,15.9,9.7,24.2,33.9,13.3,6.7,4.4,70.2,3,0.55,0.51,151.4,30.4,72.4,51.9,53.2,13.9,10.4,12.9,1.3,54.8,107.8,91.2,16.6,2408.4,64.9,11,4,0,0,0,0,3,1,95,10.8,3,1.53,1.3,0.6,0.25,29,8,0.78,-1.29
Penn State,2013,Big Ten Conference,10,31,40.3,21.3,53.9,0.4,5,17,0.3,13.9,20.1,0.7,12.4,21.9,10.2,23.3,33.5,9.8,5.3,3.2,61.6,12,0.49,0.44,138.6,29.6,73.2,50.6,46.1,16.4,8.1,10.4,1.1,36,94,104,-10.1,2033,65.1,6,10,0,0,0,0,1,0,84,-6.6,2,1.46,0.8,0.4,0.26,10,21,0.32,0.74
Purdue,2013,Big Ten Conference,8,34,40.3,24.6,57.9,0.43,4.3,13.3,0.32,12.7,19.4,0.65,12.6,17.8,12.6,25,37.6,13.8,4.9,4.5,66.2,9,0.5,0.46,139.9,36.4,71.9,54.2,55.8,15.9,7.4,11.4,1.1,48.3,98.7,96.9,1.8,2281.2,66.6,7,8,1,0,0,0,0,3,89,1.2,2,1.56,1.1,0.4,0.22,16,18,0.47,0.11
Wisconsin,2013,Big Ten Conference,9,35,40.6,23.5,56,0.42,7.4,22.4,0.33,10.5,16.6,0.63,9.7,14,11.1,24.8,35.9,13.3,5.7,4.4,65,4,0.51,0.49,138.4,32.2,75.1,53.2,56.5,13.3,9,10.8,1.2,52.3,103.1,88.7,14.3,2206.4,62.2,5,12,1,0,0,0,1,1,88,9,1,1.57,1.4,0.6,0.19,23,12,0.66,-0.65
Illinois,2014,Big Ten Conference,11,35,40.1,22.8,55.5,0.41,6,18.9,0.32,12.7,17.3,0.73,10.4,16.8,10.1,22.7,32.9,10,6.1,3.6,64.2,8,0.51,0.47,146.1,30.5,71.8,50.6,44,14.2,9.7,10.7,1.2,44.1,101,97.8,3.2,2226.1,63.4,11,7,0,0,0,0,2,2,86,2.1,2,1.44,1,0.6,0.23,20,15,0.57,-0.29
Indiana,2014,Big Ten Conference,5,32,40.2,24.4,54.4,0.45,5.5,16,0.34,18,24.7,0.73,15.1,18.3,11.6,26.1,37.7,11.5,5.9,4.3,72.2,6,0.55,0.5,152.1,36.4,73.6,56,47.1,18.7,8.5,11.2,1.3,50.7,103.5,96.8,6.7,2233,69.5,7,11,0,0,0,0,1,0,105,4.7,1,1.47,0.8,0.4,0.33,17,15,0.53,-0.13
Iowa,2014,Big Ten Conference,1,33,40.6,27.8,60.1,0.46,5.8,16.5,0.35,20,27.2,0.74,11.2,18.2,12.8,26.5,39.2,16.1,7.1,5,81.5,1,0.57,0.51,154.9,36.7,71.9,54.8,57.9,13.5,9.9,13.5,1.4,65.6,113.9,98.3,15.6,2361.2,70.5,2,16,0,0,0,0,1,1,109,11.2,2,1.58,1.4,0.6,0.33,20,13,0.61,-0.43
