vsc,hsc,line,total,mov,combsc,thur,mon,oct,nov,dec,late,rating,Division,OT,number,Penalties,sumwin
17,30,3,48.5,13,47,0,0,0,0,1,0,67,0,0,2368,12,1.545454545
17,20,5,38,3,37,0,0,1,0,0,0,50,0,0,2355,9,1.25
6,29,8.5,43,23,35,0,0,1,0,0,0,32,0,0,2302,10,0.8125
17,34,10,43,17,51,0,0,1,0,0,0,64,0,0,2290,13,1
41,34,2.5,39,7,75,0,0,0,0,1,0,83,0,0,2285,6,0.384615385
27,17,9,37.5,10,44,0,1,1,0,0,0,42,1,0,2270,18,0.933333333
20,33,3.5,42,13,53,0,0,0,0,0,1,63,0,0,2266,20,1
44,13,5.5,38.5,31,57,0,0,0,0,1,0,71,1,0,2253,6,1
34,21,9.5,43.5,13,55,0,0,0,1,0,1,69,0,0,2243,12,1
34,27,4,40.5,7,61,0,0,0,1,0,1,60,0,0,2239,13,0.571428571
14,31,3.5,38.5,17,45,0,0,0,1,0,0,65,1,0,2222,9,0.8
17,10,3,44,7,27,0,0,0,1,0,0,51,0,0,2220,13,0.166666667
7,35,9,44.5,28,42,0,0,0,0,1,0,77,0,0,2176,3,1.142857143
31,10,3.5,42,21,41,0,0,0,1,0,0,51,0,0,2160,9,1
16,10,2.5,36,6,26,0,0,0,1,0,1,34,1,0,2135,15,0.375
7,30,7.5,32,23,37,0,0,0,0,0,0,44,0,0,2122,7,1.266666667
17,31,8.5,40.5,14,48,0,0,0,1,0,0,50,0,0,2100,17,0.857142857
20,9,7,37,11,29,0,0,1,0,0,1,44,0,0,2031,12,0.733333333
3,20,3,42,17,23,0,0,0,1,0,1,75,0,0,1986,7,1
17,37,3,42,20,54,0,0,1,0,0,0,70,1,0,1940,10,1.125
28,17,3.5,46,11,45,0,0,1,0,0,0,57,0,0,1937,11,1.2
14,10,2,42.5,4,24,0,0,0,0,1,0,72,0,0,1919,6,1.083333333
37,7,6,44,30,44,0,0,1,0,0,0,60,1,0,1918,16,0.566666667
30,23,13.5,42.5,7,53,0,0,0,0,1,1,66,0,0,1881,5,0.818181818
28,21,3,40.5,7,49,0,0,1,0,0,0,51,1,0,1867,8,0.25
