fga,fg_pct,fga3,fg3_pct,fta,ft_pct,orb,drb,ast,stl,blk,tov,opp_fga,opp_fg_pct,opp_fga3,opp_fg3_pct,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,win
66,47,26,50,17,76.5,6,26,15,9,4,10,68,47.1,31,45.2,7,100,9,30,14,6,3,16,TRUE
53,41.5,19,36.8,20,80,9,25,10,12,6,13,54,33.3,23,30.4,19,68.4,15,23,12,4,1,18,TRUE
55,47.3,19,42.1,19,84.2,13,24,11,6,8,15,64,40.6,27,51.9,21,61.9,20,16,17,7,4,10,FALSE
61,37.7,23,30.4,36,75,14,20,6,11,2,8,52,48.1,28,42.9,16,81.3,9,27,12,1,1,23,TRUE
60,46.7,24,41.7,7,71.4,14,14,15,8,5,14,45,57.8,21,61.9,23,69.6,8,17,18,12,5,15,FALSE
64,32.8,27,22.2,25,84,20,25,12,8,2,8,54,40.7,23,30.4,13,61.5,12,27,13,7,7,14,TRUE
65,35.4,30,30,7,85.7,18,23,17,2,3,8,45,53.3,20,55,18,55.6,4,25,16,5,6,10,FALSE
52,46.2,18,44.4,19,52.6,12,32,14,5,7,17,69,29,37,27,12,58.3,20,23,13,10,2,12,TRUE
60,41.7,27,33.3,13,76.9,10,31,17,6,3,17,63,36.5,28,25,24,75,11,28,10,12,2,11,FALSE
54,38.9,25,40,17,76.5,7,22,9,3,4,7,55,41.8,19,15.8,15,100,10,28,8,5,2,11,TRUE
62,56.5,26,38.5,16,50,12,31,21,7,6,9,57,38.6,25,44,17,64.7,6,21,13,3,3,9,TRUE
53,47.2,30,43.3,18,72.2,8,18,20,7,3,9,53,43.4,27,40.7,13,84.6,10,21,15,2,4,13,TRUE
49,49,18,27.8,24,83.3,7,35,19,10,4,20,60,35,25,20,22,50,11,20,8,10,3,12,TRUE
54,35.2,19,31.6,14,85.7,3,26,8,5,3,12,57,38.6,13,46.2,7,71.4,10,32,8,5,2,19,TRUE
67,32.8,23,17.4,13,69.2,18,18,8,2,4,20,61,62.3,25,64,11,27.3,9,30,21,13,6,15,FALSE
59,27.1,23,34.8,11,63.6,6,32,9,7,3,14,64,39.1,30,30,14,71.4,10,40,17,7,6,14,FALSE
52,36.5,23,34.8,17,82.4,7,29,12,5,4,8,55,34.5,30,26.7,8,100,7,26,8,6,3,9,TRUE
43,46.5,22,27.3,27,66.7,6,18,11,7,2,15,41,51.2,21,47.6,26,69.2,6,21,14,6,1,14,FALSE
66,53,16,18.8,28,75,14,30,21,9,7,12,66,50,19,31.6,11,54.5,5,21,16,8,3,12,TRUE
54,44.4,15,40,12,83.3,10,30,11,5,2,15,60,36.7,26,15.4,12,75,9,22,11,5,2,10,TRUE
58,39.7,28,10.7,13,69.2,13,15,9,9,2,8,50,46,27,40.7,12,58.3,10,21,14,5,4,13,FALSE
51,45.1,26,30.8,18,77.8,6,21,16,5,4,11,53,49.1,18,44.4,22,68.2,11,24,19,7,2,14,FALSE
60,38.3,23,34.8,16,62.5,8,24,11,5,4,11,60,48.3,18,38.9,17,70.6,10,33,12,4,4,12,FALSE
67,43.3,25,36,26,84.6,17,22,14,11,0,13,64,46.9,29,37.9,15,60,15,24,13,4,4,18,TRUE
57,38.6,30,36.7,16,87.5,9,30,12,5,5,12,54,25.9,28,21.4,18,83.3,10,26,9,7,2,13,TRUE
72,34.7,39,20.5,19,73.7,13,28,9,11,8,20,75,50.7,20,10,14,71.4,10,36,20,10,2,15,FALSE
48,50,19,36.8,24,75,6,28,13,4,12,13,57,33.3,20,35,38,52.6,18,18,12,8,1,8,TRUE
52,51.9,17,47.1,18,77.8,7,25,15,8,3,12,61,41,25,28,13,69.2,13,20,8,3,1,13,TRUE
55,30.9,33,36.4,8,75,7,21,10,2,3,5,56,46.4,17,11.8,10,100,8,31,12,2,7,5,FALSE
59,45.8,25,36,19,89.5,14,22,20,10,4,11,58,43.1,21,33.3,12,66.7,13,20,13,6,3,16,TRUE
