date,AwayTeam,HomeTeam,Away_bestodds,Home_bestodds,pct_bet_home,pct_bet_away,Total,O_bestodds,U_bestodds,pct_bet_over,pct_bet_under,TotalResult,Volume,AwaySP,HomeSP,AwayScore,HomeScore
4/7/2024,NYM,CIN,-115,100,0.51,0.49,8.5,-110,-108,0.14,0.86,Under,21184,S. Manaea,A. Abbott,3,1
4/7/2024,CHW,KC,115,-126,0.59,0.41,9,100,-105,0.22,0.78,Under,31806,G. Crochet,A. Marsh,3,5
4/7/2024,SEA,MIL,115,-130,0.63,0.37,9,-104,100,0.1,0.9,Over,14050,E. Hancock,C. Rea,4,12
4/7/2024,MIA,STL,125,-137,0.67,0.33,9,-105,-105,0.88,0.12,Over,19028,M. Meyer,K. Gibson,10,3
4/7/2024,LAD,CHC,-112,107,0.52,0.48,8.5,-103,-106,0.82,0.18,Over,27035,G. Stone,S. Imanaga,1,8
4/7/2024,TB,COL,-136,126,0.2,0.8,11,-110,-103,0.5,0.5,Under,15958,R. Pepiot,Dak. Hudson,3,2
4/7/2024,SD,SF,145,-165,0.71,0.29,8,255,100,0.6,0.4,Under,17089,M. Waldron,L. Webb,2,3
4/7/2024,BOS,LAA,-115,104,0.15,0.85,8.5,-110,-105,0.57,0.43,Over,16155,T. Houck,C. Silseth,12,2
4/7/2024,HOU,TEX,-105,-108,0.57,0.43,10.5,-102,-105,0.59,0.41,Under,48134,R. Blanco,D. Dunning,3,1
4/8/2024,CHW,CLE,222,-238,0.86,0.14,8,100,105,0.33,0.67,Under,21012,T. Banks,T. McKenzie,0,4
4/8/2024,MIA,NYY,130,-148,0.8,0.2,8,-110,100,0.58,0.42,Under,38304,J. Luzardo,N. Cortes Jr.,0,7
4/8/2024,MIL,CIN,-106,-107,0.73,0.27,9.5,-102,-110,0.57,0.43,Over,24486,A. Ashby,G. Ashcraft,8,10
4/8/2024,DET,PIT,112,-124,0.73,0.27,8,-105,-105,0.36,0.64,Over,25420,R. Olson,M. Keller,4,7
4/8/2024,SEA,TOR,106,-118,0.56,0.44,8,-106,100,0.19,0.81,Under,30267,L. Castillo,J. Berrios,2,5
4/8/2024,NYM,ATL,205,-215,0.85,0.15,10,-103,-104,0.32,0.68,Over,43519,J. Teheran,C. Morton,8,7
4/8/2024,LAD,MIN,-132,118,0.1,0.9,8.5,-110,100,0.83,0.17,Under,37229,J. Paxton,B. Ober,4,2
4/8/2024,PHI,STL,-104,-108,0.2,0.8,8.5,100,-105,0.42,0.58,Under,32170,S. Turnbull,M. Mikolas,5,3
4/8/2024,HOU,TEX,112,118,0.61,0.39,10,100,100,0.56,0.44,Over,29388,B. Henley,A. Heaney,10,5
4/8/2024,AZ,COL,-175,155,0.09,0.91,10.5,-105,100,0.63,0.37,Over,52976,Z. Gallen,K. Freeland,5,7
4/8/2024,TB,LAA,-145,130,0.17,0.83,8.5,100,-105,0.35,0.65,Under,29312,Z. Eflin,T. Anderson,1,7
4/8/2024,CHC,SD,120,-135,0.44,0.56,7.5,-108,-105,0.4,0.6,Over,22784,J. Assad,Y. Darvish,8,9
4/8/2024,WAS,SF,184,-210,0.81,0.19,7.5,100,-113,0.45,0.55,Over,29237,T. Williams,B. Snell,8,1
4/9/2024,DET,PIT,107,-115,0.48,0.52,8.5,-105,100,0.31,0.69,Under,32347,C. Mize,M. Perez,5,3
4/9/2024,BAL,BOS,-125,112,0.43,0.57,8,-105,100,0.63,0.37,Push,36532,C. Burnes,B. Bello,7,1
4/9/2024,CHW,CLE,210,-235,0.99,0.01,8.5,105,100,0,0,Over,26702,M. Soroka,L. Allen,7,5
4/9/2024,MIL,CIN,118,-130,0.58,0.42,9.5,100,-102,0.5,0.5,Over,22986,J. Ross,F. Montas,9,5
4/9/2024,MIA,NYY,184,-205,0.97,0.03,8.5,-102,100,0.57,0.43,Under,41439,A. Puk,C. Rodon,2,3
4/9/2024,SEA,TOR,-105,-108,0.2,0.8,8.5,-102,-104,0.5,0.5,Under,23284,G. Kirby,C. Bassitt,3,5
4/9/2024,NYM,ATL,175,-185,0.95,0.05,9,-105,-102,0.24,0.76,Over,31741,A. Houser,R. Lopez,5,6
4/9/2024,HOU,KC,-118,110,0.48,0.52,8.5,100,-105,0.48,0.52,Under,30973,C. Javier,C. Ragans,3,4
4/9/2024,LAD,MIN,-180,162,0.1,0.9,8,-104,-105,0.73,0.27,Over,34755,T. Glasnow,L. Varland,6,3
4/9/2024,PHI,STL,-135,120,0.15,0.85,7.5,102,-115,0.18,0.82,Under,32882,Z. Wheeler,S. Gray,0,3
4/9/2024,OAK,TEX,180,-195,0.96,0.04,9,105,100,0.42,0.58,Under,40066,A. Wood,N. Eovaldi,4,3
4/9/2024,AZ,COL,-180,1200,0.06,0.94,11,-105,100,0,0,Under,33008,M. Kelly,C. Quantrill,3,2
4/9/2024,TB,LAA,-120,108,0.4,0.6,8.5,-104,-105,0.67,0.33,Over,20805,A. Civale,P. Sandoval,6,4
4/9/2024,WAS,SF,164,-180,0.91,0.09,8.5,100,-110,0.75,0.25,Under,24344,J. Adon,K. Harrison,5,3
4/9/2024,CHC,SD,123,-140,0.53,0.47,8,100,-108,0.45,0.55,Under,20755,B. Brown,J. Musgrove,5,1
4/10/2024,LAD,MIN,-106,-108,0.38,0.62,9,-110,100,0.06,0.94,Under,36239,Bo. Miller,C. Paddack,2,3
4/10/2024,PHI,STL,118,-128,0.71,0.29,7.5,100,105,0.55,0.45,Under,29009,A. Nola,L. Lynn,4,3
4/10/2024,SEA,TOR,168,184,0.67,0.33,8.5,-102,100,0.55,0.45,Under,23436,L. Gilbert,Y. Kikuchi,6,1
4/10/2024,AZ,COL,134,-128,0.45,0.55,11,-105,-104,0.57,0.43,Under,22572,T. Henry,A. Gomber,5,3
4/10/2024,WAS,SF,-116,104,0.67,0.33,8.5,100,-107,0.67,0.33,Under,27944,P. Corbin,J. Hicks,1,7
4/10/2024,TB,LAA,134,-148,0.4,0.6,9.5,-110,100,0.4,0.6,Under,20119,Z. Littell,J. Soriano,4,2
4/10/2024,CHW,CLE,106,-116,0.96,0.04,7.5,100,-110,0.08,0.92,Over,26909,E. Fedde,T. Bibee,6,7
4/10/2024,MIL,CIN,-174,148,0.36,0.64,8.5,-105,-105,0.21,0.79,Over,23405,W. Miley,H. Greene,7,2
